Date,China,US,United_Kingdom,Italy,China_new_daily_cases,US_new_daily_cases,United_Kingdom_new_daily_cases,Italy_new_daily_cases
22/1/2020,548,1,0,0,548,1,0,0
23/1/2020,643,1,0,0,95,0,0,0
24/1/2020,920,2,0,0,277,1,0,0
25/1/2020,1406,2,0,0,486,0,0,0
26/1/2020,2075,5,0,0,669,3,0,0
27/1/2020,2877,5,0,0,802,0,0,0
28/1/2020,5509,5,0,0,2632,0,0,0
29/1/2020,6087,6,0,0,578,1,0,0
30/1/2020,8141,6,0,0,2054,0,0,0
31/1/2020,9802,8,2,2,1661,2,2,2
1/2/2020,11891,8,2,2,2089,0,0,0
2/2/2020,16630,8,2,2,4739,0,0,0
3/2/2020,19716,11,8,2,3086,3,6,0
4/2/2020,23707,11,8,2,3991,0,0,0
5/2/2020,27440,11,9,2,3733,0,1,0
6/2/2020,30587,12,9,2,3147,1,0,0
7/2/2020,34110,12,9,3,3523,0,0,1
8/2/2020,36814,12,13,3,2704,0,4,0
9/2/2020,39829,12,14,3,3015,0,1,0
10/2/2020,42354,12,14,3,2525,0,0,0
11/2/2020,44386,13,15,3,2032,1,1,0
12/2/2020,44759,13,16,3,373,0,1,0
13/2/2020,59895,14,17,3,15136,1,1,0
14/2/2020,66358,14,18,3,6463,0,1,0
15/2/2020,68413,14,18,3,2055,0,0,0
16/2/2020,70513,14,18,3,2100,0,0,0
17/2/2020,72434,14,19,3,1921,0,1,0
18/2/2020,74211,14,19,3,1777,0,0,0
19/2/2020,74619,14,20,3,408,0,1,0
20/2/2020,75077,14,22,3,458,0,2,0
21/2/2020,75550,16,23,20,473,2,1,17
22/2/2020,77001,16,23,62,1451,0,0,42
23/2/2020,77022,16,28,155,21,0,5,93
24/2/2020,77241,16,30,229,219,0,2,74
25/2/2020,77754,16,34,322,513,0,4,93
26/2/2020,78166,16,37,453,412,0,3,131
27/2/2020,78600,17,44,655,434,1,7,202
28/2/2020,78928,17,56,888,328,0,12,233
29/2/2020,79356,25,61,1128,428,8,5,240
1/3/2020,79932,32,94,1694,576,7,33,566
2/3/2020,80136,55,134,2036,204,23,40,342
3/3/2020,80261,74,189,2502,125,19,55,466
4/3/2020,80386,107,246,3089,125,33,57,587
5/3/2020,80537,184,295,3858,151,77,49,769
6/3/2020,80690,237,374,4636,153,53,79,778
7/3/2020,80770,403,429,5883,80,166,55,1247
8/3/2020,80823,519,483,7375,53,116,54,1492
9/3/2020,80860,594,630,9172,37,75,147,1797
10/3/2020,80887,782,889,10149,27,188,259,977
11/3/2020,80921,1147,1301,12462,34,365,412,2313
12/3/2020,80932,1586,1790,15113,11,439,489,2651
13/3/2020,80945,2219,2270,17660,13,633,480,2547
14/3/2020,80977,2978,2634,21157,32,759,364,3497
15/3/2020,81003,3212,3077,24747,26,234,443,3590
16/3/2020,81033,4679,3692,27980,30,1467,615,3233
17/3/2020,81058,6512,4462,31506,25,1833,770,3526
18/3/2020,81102,9169,5467,35713,44,2657,1005,4207
19/3/2020,81156,13663,6533,41035,54,4494,1066,5322
20/3/2020,81250,20030,7791,47021,94,6367,1258,5986
21/3/2020,81305,26025,9006,53578,55,5995,1215,6557
22/3/2020,81435,34855,10395,59138,130,8830,1389,5560
23/3/2020,81498,46086,12744,63927,63,11231,2349,4789
24/3/2020,81591,56698,15126,69176,93,10612,2382,5249
25/3/2020,81661,68773,17843,74386,70,12075,2717,5210
26/3/2020,81782,86613,20970,80589,121,17840,3127,6203
27/3/2020,81897,105293,24219,86498,115,18680,3249,5909
28/3/2020,81999,124900,27062,92472,102,19607,2843,5974
29/3/2020,82122,143779,29954,97689,123,18879,2892,5217
30/3/2020,82198,165861,34281,101739,76,22082,4327,4050
31/3/2020,82279,192177,38815,105792,81,26316,4534,4053
1/4/2020,82361,218060,43789,110574,82,25883,4974,4782
2/4/2020,82432,248447,48718,115242,71,30387,4929,4668
3/4/2020,82511,280417,53699,119827,79,31970,4981,4585
4/4/2020,82543,313432,57772,124632,32,33015,4073,4805
5/4/2020,82602,341629,61422,128948,59,28197,3650,4316
6/4/2020,82665,371802,66738,132547,63,30173,5316,3599
7/4/2020,82718,403212,72224,135586,53,31410,5486,3039
8/4/2020,82809,435407,77387,139422,91,32195,5163,3836
9/4/2020,82883,469989,82293,143626,74,34582,4906,4204
10/4/2020,82941,503474,86660,147577,58,33485,4367,3951
11/4/2020,83014,532782,90273,152271,73,29308,3613,4694
12/4/2020,83134,559709,93812,156363,120,26927,3539,4092
13/4/2020,83213,585518,98017,159516,79,25809,4205,3153
14/4/2020,83306,614082,102365,162488,93,28564,4348,2972
15/4/2020,83356,644247,107465,165155,50,30165,5100,2667
16/4/2020,83403,675648,112808,168941,47,31401,5343,3786
17/4/2020,83760,708317,117798,172434,357,32669,4990,3493
18/4/2020,83787,736244,122534,175925,27,27927,4736,3491
